Estimate	P.value	fisher_z_trans
ACAP3	0.470215973504003	1.07773803700136e-05	1.02069516341274
ANKRD65	0.329327004079645	0.0028551508672757	0.684146401414367
ATAD3A	0.366367990265005	0.000830753152144917	0.768443036792416
ATAD3B	0.490778631987055	3.80514527539849e-06	1.0741710045567
ATAD3C	0.31900912113034	0.00392457938365291	0.661087155549903
AURKAIP1	0.391564897789595	0.000328543741795458	0.827293963944465
B3GALT6	0.386772611142494	0.000394202094610129	0.815998652478913
CCNL2	0.266862793863674	0.0167159519089207	0.546966013590658
CDK11A	0.477211066396891	7.62020713538489e-06	1.03873336044591
CDK11B	0.561662239968319	5.94813876406178e-08	1.27051631657731
CPSF3L	0.602335790518424	3.40503580649703e-09	1.39360975832521
DVL1	0.56224516437606	5.72458560291277e-08	1.27222025586247
FAM213B	0.452888545483912	2.46337284196302e-05	0.976656416510281
GNB1	0.596637704432759	5.20743087591702e-09	1.37582010785
MIB2	0.454010674968813	2.33810917307056e-05	0.9794815755319
MMEL1	0.371162543518672	0.000700290004662324	0.779541423363635
MORN1	0.490691193325894	3.82257873824495e-06	1.07394065405161
NADK	0.655498496504372	4.16552655550216e-11	1.56975899407711
NOC2L	0.594830638768763	5.94821854438537e-09	1.37021767141608
PANK4	0.682502469692958	3.12263126559872e-12	1.66756748964681
PEX10	0.499201889678907	2.43523289493561e-06	1.09648512548328
PLEKHN1	0.261523281584688	0.0191160322792183	0.535485647417654
PRKCZ	0.63307047991655	2.95928778229301e-10	1.49304746557401
PUSL1	0.398268528478612	0.000253443146055431	0.843178699606973
RER1	0.60944746829286	1.98016927915703e-09	1.4160837272303
SDF4	0.537966362793661	2.65758353529476e-07	1.20257858284377
SKI	0.429178095199061	7.1173698905553e-05	0.917777538933679
SLC35E2B	0.589992366184515	8.45867770421589e-09	1.35530871547376
SLC35E2	0.231837682153744	0.0385210042773502	0.472261321736457
SSU72	0.517972055608157	8.62099141782028e-07	1.14712846080911
TMEM52	0.325373831290643	0.00322939989985266	0.675291122129328
TNFRSF14	0.611866604584983	1.64167379246403e-09	1.42379908499161
UBE2J2	0.670654531105629	1.00597420925203e-11	1.62386350614781
ARHGEF16	0.296755193177959	0.00751797229279531	0.611915355185266
MEGF6	0.409276697001861	0.000163512781491089	0.869484147565548
TPRG1L	0.607230382731796	2.34810925299236e-09	1.40904449308561
WRAP73	0.571900296217552	3.00236439309138e-08	1.30068442496448
SMIM1	0.229382559217172	0.0406829285280578	0.467075273286488
LRRC47	0.652554588011857	5.43870712778235e-11	1.55947003991153
CEP104	0.720453228223475	4.94078425580799e-14	1.81717342040005
