Estimate	P.value	fisher_z_trans
ATOH7	-0.362625809124392	0.000947535826404919	-0.759811949335767
WWP2	-0.65327387058008	5.09698525518095e-11	-1.56197754909809
FAM180B	-0.563853727144866	9.15683348317776e-08	-1.2769307166028
RFX1	-0.390998593530239	0.000372023902264225	-0.825956603620222
PAX9	0.298604931911433	0.00713564286284218	0.615974531778567
PSCA	-0.321190811064229	0.00382113896248746	-0.665948668202028
WIPF2	-0.339803094233474	0.00215403382192969	-0.707739804949837
SNN	-0.383333333333333	0.00049246685384257	-0.807922695152373
HPCA	-0.315671026017749	0.00434001734852569	-0.653663342290691
ATG4D	-0.266385372714487	0.0171649003366021	-0.545938098420134
FAM126A	-0.330778246601031	0.00285606164518664	-0.687403722746078
TAF8	-0.480848570089076	8.29962765458391e-06	-1.04817494754282
ARF1	-0.407337083919362	0.000200225421336621	-0.86482880570411
PWP2	-0.396577590248476	0.000302104208140212	-0.839162479183008
FASLG	-0.531097967113138	4.01570908472334e-07	-1.18334652105641
GGN	-0.374074074074074	0.000685243237697062	-0.786303347684361
PTPN22	-0.371285145913318	0.000697213464233576	-0.779825820048034
C2CD4C	-0.279947725905686	0.0119023536201127	-0.575250704660132
RUNX1T1	-0.368266942229231	0.00077664437793926	-0.772833284379385
SETD4	-0.309657759024848	0.00536153303751566	-0.640333653373462
FAHD1	-0.409329582747304	0.000185273063447724	-0.869611204842742
KLF9	-0.523933427097984	9.18035508422207e-07	-1.16349234879598
PRR13	-0.242967651195499	0.0301243898755042	-0.49585108096631
CORO7	-0.339545241443976	0.00217170466074146	-0.707156837423721
NCKAP5	-0.777730895452414	0	-2.07920422181109
ARHGAP21	-0.379043600562588	0.000574564457980882	-0.797884625592386
CCDC122	-0.273066104078762	0.0144969356116543	-0.560347978807459
VPS13D	-0.459329582747304	2.26221978577336e-05	-0.992922536394592
NRBP2	-0.478129395218003	9.45313158014725e-06	-1.04111297158985
CDK12	-0.262095639943741	0.0190932177941636	-0.536714601871365
RPSA	-0.698007501172058	0	-1.7268086057646
SERTAD2	-0.268166901078293	0.0164149385002154	-0.54977527076515
VANGL2	-0.358087201125176	0.00118669649182196	-0.749380051795401
GPATCH3	-0.572269104547586	5.38840618908089e-08	-1.30178089554413
DVL3	-0.695663384903891	0	-1.71769494545372
FAM151B	-0.335489920300047	0.00246736732177675	-0.69800343812433
SLC35B2	-0.426769807782466	9.20919952492867e-05	-0.911880924808257
LOXL1	-0.506915142991092	2.26228739398082e-06	-1.11713860549373
PAPOLB	-0.355441833343423	0.00121437828216021	-0.743317687299026
ONECUT1	0.552931764591969	1.04659052149311e-07	1.24518864949743
EXOC3	-0.713548992030005	0	-1.78875441301228
MAPK8IP2	-0.512306610407876	1.70804194993713e-06	-1.1317044124689
GATAD1	-0.334294421003282	0.00256119497994197	-0.695310408304921
PPM1K	-0.332067510548523	0.00274457615194164	-0.690300428676979
FASTKD3	-0.275293014533521	0.0136915123464547	-0.565163831325882
PEBP1	-0.250634380187029	0.0249367358960429	-0.512179197353018
BIN1	-0.37093295827473	0.000764921768815632	-0.77900894285455
RHOT2	-0.284575714955462	0.0107388424542535	-0.585307987537713
PABPC3	-0.256282231598687	0.0220021436383841	-0.524250409154726
KCNH1	-0.287974683544304	0.00980640176532016	-0.592712783238175
FAM96A	-0.329231129864041	0.0029952057337109	-0.683931334406228
RNF11	-0.470839193624004	1.33338005099448e-05	-1.02229602942674
MAP3K6	-0.347374589779653	0.00168964188297534	-0.724909909342529
MYOZ1	-0.490107829348336	5.28804695692318e-06	-1.07240449174207
EPS8L2	-0.768659165494608	0	-2.03408490774663
IGSF3	-0.591326769807782	1.45763737699835e-08	-1.35940750514909
DDAH2	-0.679231129864041	0	-1.65537047378913
SMAP1	-0.413736521331458	0.000155795923715088	-0.880222182573368
FAM107B	-0.488724800750117	5.66062077194941e-06	-1.06876719844932
HCLS1	-0.731669010782935	0	-1.86461971566541
PPIB	-0.237693389592124	0.0339802141403832	-0.484655906032606
NMUR1	-0.452766057196437	3.03457482580739e-05	-0.976348249498354
MAP3K14	-0.361111111111111	0.0010717871104787	-0.756326082181477
TRAPPC2L	-0.462367922932945	1.57592362055203e-05	-1.00063781132987
BCAR1	-0.343248945147679	0.0019300242342491	-0.715541509575417
