GeneCluster	X1	X2	p.value
ACAP3	2	-0.571	0.075	0.0019281682215495
ANKRD65	2	-0.457	0.296	8.97613111369366e-05
ATAD3C	2	-0.691	0.396	5.86250394457274e-08
CDK11A	2	-0.599	0.025	0.00497130677493119
CDK11B	2	-0.86	0.124	3.42258489986375e-05
DVL1	2	-0.64	0.06	0.00119063280437944
FAM132A	2	-0.389	0.448	4.68935818439541e-05
FAM213B	2	-0.66	0.223	2.90275508577018e-05
GABRD	1	0.599	-0.388	8.97975728919487e-05
KLHL17	2	-0.477	0.211	0.000730600622982032
MIB2	2	-0.885	0.385	5.49637798628298e-10
MMEL1	2	-0.396	0.018	0.0429263013100225
MORN1	2	-0.646	0.146	8.87192118276812e-05
NADK	1	-0.089	-0.886	0.00226325498098739
PEX10	2	-0.621	0.019	0.00691594401629523
PLEKHN1	1	0.116	-0.401	0.0116619428350792
PRDM16	1	0.218	-0.253	0.0221000809856912
SCNN1D	2	-0.334	0.175	0.010526448373159
SKI	2	-0.705	0.23	4.86665268748166e-06
SSU72	2	-0.597	-0.035	0.0181833297817045
TMEM52	1	0.082	-0.423	0.0197324041010371
TMEM88B	1	0.218	-0.27	0.0297000173495454
TNFRSF18	1	0.272	-0.429	0.000139959446830444
TNFRSF4	1	0.298	-0.322	0.00382790679568739
ARHGEF16	1	0.177	-0.554	0.000419606598366067
TPRG1L	2	-0.994	0.195	1.21514618157653e-07
TP73	1	0.439	-0.352	0.000498382445455754
CCDC27	2	-0.317	0.363	0.00182969120977054
SMIM1	2	-0.712	0.421	1.50706402478567e-09
NPHP4	2	-0.754	0.3	1.04951700666231e-05
KCNAB2	2	-0.472	0.015	0.0216520206451174
RPL22	2	-0.888	0.216	2.15106281527507e-07
RNF207	2	-0.51	0.158	0.000895012118420439
GPR153	2	-0.853	0.405	4.12550088143225e-12
HES2	1	0.284	-0.23	0.0252655691448357
TNFRSF25	1	0.174	-0.341	0.0124762258332628
TAS1R1	2	-0.505	0.251	5.7398263334436e-05
ZBTB48	2	-0.636	-0.138	0.0446202192406971
KLHL21	2	-1.021	0.236	2.01236201021577e-08
PHF13	2	-0.846	-0.124	0.00789751276918759
VAMP3	2	-1.039	0.075	7.98238452676063e-06
PER3	2	-0.658	0.107	0.000246676642889661
TNFRSF9	1	0.203	-0.424	0.000765318867038789
ERRFI1	2	-0.519	0.095	0.00331974332888021
SLC25A33	2	-0.767	-0.172	0.0188666683104258
PIK3CD	2	-0.593	-0.014	0.00703512607149983
CTNNBIP1	2	-0.884	0.194	3.63517993598822e-07
LZIC	2	-0.587	-0.122	0.0465858137468014
RBP7	2	-0.742	0.343	3.38901758388273e-09
KIF1B	1	0.224	-0.662	9.6457792926346e-06
APITD1	1	0.545	-0.635	6.49554677087572e-11
DFFA	2	-0.927	0.137	1.1281466451445e-05
ANGPTL7	1	0.92	-0.525	0.000578097843961984
FBXO44	2	-0.799	-0.105	0.00894900280272841
MAD2L2	2	-0.701	-0.063	0.00768529491043406
MTHFR	2	-0.8	0.079	0.000119485085325619
CLCN6	2	-0.699	0.097	0.000315811512859594
NPPA	2	-0.421	0.13	0.0119727616431705
KIAA2013	2	-0.693	-0.026	0.00742696829835012
MIIP	2	-0.53	0.014	0.0156153476771679
TNFRSF8	1	0.182	-0.407	0.00159394335238536
TNFRSF1B	1	0.304	-0.555	5.0813538837976e-06
PRAMEF12	1	0.084	-0.287	0.0497740811864954
PRAMEF8	1	0.217	-0.289	0.0289573924063484
EFHD2	1	0.022	-0.454	0.0315578186355196
CTRC	1	0.138	-0.326	0.0151205236917996
CASP9	2	-0.937	0.032	0.000138695618327257
RSC1A1	1	-0.038	-0.548	0.0202079948905201
FBLIM1	1	0.143	-0.382	0.0157418175372892
SPEN	2	-0.616	-0.112	0.0368168516249654
CLCNKA	1	0.337	-0.572	1.811864659993e-06
CLCNKB	1	0.091	-0.461	0.00571489172623438
NECAP2	2	-1.036	-0.036	0.000185430883780372
ATP13A2	2	-0.566	0.06	0.00902693695840115
CROCC	1	-0.039	-0.558	0.0228399266307125
MFAP2	2	-0.777	0.28	4.35190465304735e-08
NBPF1	2	-0.728	0.077	0.000217989613962659
SDHB	1	-0.002	-0.777	0.00158795533820509
PADI1	1	1.099	-0.579	1.94818829748433e-05
PADI3	1	0.237	-0.279	0.00662181072890915
ALDH4A1	1	0.242	-0.678	5.48176124548985e-05
IFFO2	2	-0.826	0.131	8.03240429089107e-06
AKR7L	1	0.146	-0.417	0.0120195181330651
MINOS1	1	-0.084	-0.652	0.0137727231454647
UBXN10	2	-0.68	-0.139	0.0235010605491085
CAMK2N1	2	-0.496	0.014	0.0120948154874033
FAM43B	1	0.457	-0.342	0.00424490618166451
KIF17	1	0.347	-0.372	0.000698450534815847
SH2D5	1	0.464	-0.582	4.32144807772436e-09
EIF4G3	1	0.205	-0.637	1.27542410194574e-05
ECE1	1	0.393	-0.66	2.37617230899424e-07
RAP1GAP	1	0.35	-0.646	1.96427566474946e-06
USP48	1	0.132	-0.695	5.9384407480995e-05
HSPG2	2	-0.465	0.014	0.0301539555853908
LINC00339	2	-0.891	-0.095	0.00199185097274775
WNT4	2	-0.485	0.155	0.00308687093237731
EPHA8	1	0.458	-0.45	2.27634405090297e-06
C1QA	1	0.227	-0.413	0.00131285588600003
C1QC	1	0.304	-0.443	0.000372701671439449
C1QB	1	0.281	-0.427	0.0005963520303733
EPHB2	1	0.206	-0.415	0.00177656732634162
KDM1A	2	-0.628	0.028	0.00605595697323235
TCEA3	1	0.094	-0.53	0.00234047564757794
E2F2	1	0.238	-0.515	0.000133026865051607
RPL11	2	-0.709	0.147	3.06312886716249e-05
PITHD1	2	-1.04	-0.337	0.0242215694345895
GALE	1	0.025	-0.706	0.00121286814751413
CNR2	1	0.125	-0.272	0.0348365635280648
SRSF10	1	0.173	-0.348	0.0111128794520317
STPG1	2	-0.918	0.386	1.48081617326812e-11
NIPAL3	2	-0.503	0.137	0.00305030975083942
RCAN3	2	-0.83	0.353	5.19053492834614e-09
CLIC4	1	0.286	-0.509	0.000113820544147749
RHCE	2	-0.392	0.097	0.0103918342596454
SYF2	2	-0.727	-0.029	0.0024541966282299
TMEM50A	1	-0.054	-0.627	0.0106554286694468
MAN1C1	1	0.262	-0.646	2.64757226163474e-06
PAQR7	2	-0.928	0.08	7.86542842348754e-05
STMN1	2	-0.669	0.156	0.000142088901630442
EXTL1	2	-0.645	0.242	5.32615999059196e-06
TRIM63	2	-0.834	0.114	3.18981200972457e-05
ZNF593	2	-0.554	0.019	0.0105103167938427
UBXN11	2	-0.907	0.314	6.41188012107938e-10
CD52	1	0.145	-0.261	0.0339165118823146
LIN28A	1	0.276	-0.188	0.046668470657267
HMGN2	2	-0.81	-0.132	0.0108912118198965
ZDHHC18	1	-0.06	-0.659	0.0301216123287813
SFN	1	0.699	-0.242	0.00764587350946919
GPATCH3	2	-0.832	-0.215	0.0288807265699318
TRNP1	1	0.117	-0.278	0.0380165636516307
FAM46B	2	-0.496	0.047	0.00700770672481064
WDTC1	2	-0.671	0.124	0.000199357185752745
SYTL1	1	0.08	-0.384	0.0238382672445868
WASF2	2	-0.736	-0.02	0.00264936177741585
THEMIS2	1	0.336	-0.448	4.62725901507816e-05
EYA3	2	-0.571	-0.025	0.0168154042683036
PTAFR	1	0.161	-0.286	0.0357296598322612
ATPIF1	1	0.096	-0.716	0.000241337686857813
SESN2	1	0.022	-0.681	0.00365306170615703
MED18	1	-0.061	-0.831	0.00326375518549864
RCC1	1	-0.075	-0.566	0.0287006614242878
TRNAU1AP	1	-0.212	-0.921	0.0158248223077351
RAB42	1	0.135	-0.379	0.0102867740280388
YTHDF2	1	0.015	-0.586	0.00688785705033814
OPRD1	1	0.303	-0.212	0.0227384839189844
TMEM200B	1	0.298	-0.474	0.000170732723575252
LAPTM5	1	0.239	-0.379	0.00155706322526912
MATN1	2	-0.456	0.027	0.020098981008312
SNRNP40	1	-0.17	-0.685	0.0396109634174272
ZCCHC17	1	-0.019	-0.61	0.00901801481175205
FABP3	1	0.618	-0.791	4.23338686935673e-15
TINAGL1	1	0.381	-0.268	0.00423309078329002
HCRTR1	1	0.316	-0.402	0.000354428632092985
COL16A1	1	0.151	-0.445	0.00370632617145125
KHDRBS1	2	-0.416	0.091	0.0250936823509905
IQCC	2	-0.904	-0.199	0.0107435594540965
TMEM234	2	-0.804	-0.113	0.00468103724450277
FAM167B	1	0.069	-0.425	0.0165022608570121
LCK	1	0.215	-0.395	0.00130999532300335
HDAC1	1	-0.306	-1.04	0.0171001695499275
MARCKSL1	2	-0.573	0.172	0.000306504138780651
BSDC1	2	-1.02	-0.237	0.00717141306152206
ZBTB8B	2	-0.663	0.294	6.63749921666796e-07
ZBTB8OS	1	-0.013	-0.628	0.0072651145102188
YARS	1	-0.097	-0.638	0.0313099886771715
TMEM54	2	-0.395	0.014	0.0487960381657125
RNF19B	1	-0.087	-0.594	0.0270597004088575
AK2	2	-0.992	-0.325	0.0242707374972114
TRIM62	2	-0.64	0.061	0.00231943298583251
ZNF362	2	-0.631	0.11	0.000391217162064683
PHC2	2	-1.035	0.053	8.39045627204764e-06
GJA4	1	0.299	-0.302	0.0151694003587743
DLGAP3	2	-0.4	0.115	0.00693996761323756
CLSPN	1	0.237	-0.542	4.77825044264103e-05
AGO1	2	-0.897	0.031	0.000328336991183294
TEKT2	2	-0.42	0.411	8.84616146653737e-05
THRAP3	2	-0.609	-0.067	0.0161623672140427
EVA1B	1	0.24	-0.463	0.000797110456105567
GRIK3	2	-0.479	0.353	0.000274731660907593
MEAF6	2	-0.997	-0.342	0.0341104614523434
DNALI1	2	-0.563	0.479	1.1448355240268e-07
CDCA8	1	0.112	-0.349	0.0281964395405053
MANEAL	2	-0.779	0.436	7.59479291139401e-12
FHL3	2	-0.543	0.31	1.49451807025189e-05
POU3F1	2	-0.33	0.258	0.00350271572579144
RRAGC	2	-0.602	-0.124	0.044911597321073
MYCBP	1	-0.143	-0.685	0.0263596673691635
AKIRIN1	1	-0.015	-0.553	0.0126084196665977
MACF1	1	0.154	-0.717	3.45002871211967e-05
PABPC4	2	-0.726	0.158	2.01957955190274e-05
HEYL	1	0.421	-0.286	0.0204479688250755
OXCT2	1	0.526	-0.236	0.00361611690768511
MYCL	1	0.111	-0.58	0.000691804431497909
MFSD2A	1	0.23	-0.391	0.00117354815156014
CAP1	1	-0.202	-0.76	0.0375415891973654
ZMPSTE24	1	0.095	-0.684	0.000288709873024126
EXO5	2	-0.746	-0.029	0.00443195399851764
NFYC	2	-1.119	-0.193	0.00215221072359846
KCNQ4	2	-0.54	0.242	6.98461637780736e-05
CITED4	2	-0.476	0.235	0.000201981073372835
CTPS1	1	0.145	-0.74	5.06519526791843e-05
SLFNL1	2	-0.523	0.105	0.00252765780229673
SCMH1	2	-0.766	-0.01	0.00112073464988608
ZMYND12	2	-0.516	-0.033	0.0303999971436208
PPCS	1	0.026	-0.575	0.00613722626773399
CCDC30	2	-0.548	0.277	2.34709939788825e-05
PPIH	2	-0.737	-0.146	0.0187774175637179
CCDC23	2	-0.827	-0.12	0.00699913464682118
EBNA1BP2	2	-0.676	-0.174	0.049181727754274
MPL	2	-0.811	0.429	1.15160014891681e-11
SZT2	2	-0.851	-0.055	0.00155425482744923
ST3GAL3	2	-0.594	0.02	0.0057139428135172
DPH2	2	-0.948	-0.011	0.00029875398839597
ATP6V0B	1	0.11	-0.691	0.00035949737903883
B4GALT2	2	-0.663	0.207	4.87680338764333e-05
