GeneCluster	X1	X2	p.value
WWP2	1	0.579	0.181	2.07697605831373e-15
HPCA	2	0.795	0.844	0.00394541370468282
ARHGAP21	1	0.797	0.241	4.48110810533125e-17
ONECUT1	1	0.407	0.148	1.60033222205185e-06
DDAH2	1	0.384	0.079	6.280070886285e-10
ARHGEF11	2	0.727	0.805	1.12264137973984e-06
SDC4	1	0.372	0.089	2.5918736929136e-15
LRRC2	2	0.925	0.937	0.000210940792574365
GARNL3	1	0.531	0.135	2.35964780340873e-18
EVC	2	0.793	0.917	3.58786423378324e-12
TSC22D4	1	0.266	0.053	1.34880348700791e-11
CFB	2	0.868	0.935	2.95556821006845e-06
STEAP3	2	0.869	0.886	0.000304007657014096
STAU2	2	0.021	0.027	1.29437813400854e-10
PVRL1	2	0.64	0.859	1.43952662554494e-09
RPP14	1	0.031	0.023	1.07553738916637e-16
KLF15	1	0.774	0.38	1.75299011771599e-26
PKD1	1	0.294	0.16	3.60535449936291e-14
COL22A1	2	0.817	0.862	0.00270751919377181
REPS1	1	0.736	0.37	9.89537809347803e-17
NACC2	2	0.739	0.803	3.90625387920462e-05
ZPLD1	2	0.66	0.8	9.43403167721921e-14
TWISTNB	2	0.879	0.927	2.00847771064379e-06
PIGZ	1	0.175	0.104	1.51018007440676e-12
SACS	2	0.76	0.884	1.18388706615235e-05
SALL2	1	0.089	0.047	5.68126922538266e-05
ENTPD6	1	0.219	0.103	4.25171078459508e-07
EGR2	2	0.818	0.883	0.000513828060168621
TESK2	1	0.379	0.047	5.94829425506277e-14
CDCA7L	1	0.564	0.201	1.54741779916209e-16
GOLGA4	1	0.029	0.023	1.64121287244796e-09
IMMT	2	0.918	0.94	2.99605776388233e-06
GNA15	2	0.885	0.942	0.000317194739469003
KCNK13	2	0.69	0.848	5.9572066065776e-09
ITGA6	2	0.89	0.914	0.000818197376203598
E2F5	2	0.257	0.299	4.54684998358081e-07
SLC45A4	2	0.793	0.901	3.58988856762396e-09
RASL11A	2	0.836	0.861	0.000941063310501901
F7	2	0.308	0.534	1.90792910386559e-08
RAB11FIP3	2	0.669	0.76	0.000135338686055829
PRKAR1B	2	0.284	0.44	5.28013692973601e-10
ZNF660	1	0.039	0.027	6.74319871198795e-18
SRC	2	0.752	0.86	0.000156469701235
SNX20	2	0.745	0.833	0.000121633058806106
CLCN6	1	0.747	0.409	1.08998941810064e-19
APH1B	1	0.272	0.088	6.69470629155851e-08
SULF1	2	0.885	0.916	4.25663819198359e-08
R3HDM1	2	0.929	0.945	5.15405068611209e-06
DEPDC5	2	0.836	0.911	4.39812980138028e-08
PXDN	2	0.794	0.868	2.65421734202143e-07
SCOC	2	0.816	0.856	0.00182558409318429
DNAH1	1	0.866	0.829	2.90574102991969e-12
PTPRJ	2	0.693	0.834	1.14218223877416e-09
LAT	2	0.742	0.802	4.95751537033558e-05
TEAD2	1	0.459	0.107	6.16105113018268e-17
RUNX1	2	0.826	0.865	0.000498217007176815
BCL9L	2	0.901	0.954	3.80901988334228e-08
KDELR3	2	0.703	0.924	2.73366539159703e-06
GGTLC1	2	0.846	0.878	0.010459733546426
IGSF11	1	0.197	0.063	2.39508440416718e-06
GCH1	2	0.358	0.728	3.68454795458305e-10
S100A6	2	0.67	0.768	0.000179371751513363
AGBL5	1	0.58	0.243	1.23891117732429e-20
DDX11	1	0.607	0.455	9.18890515862831e-08
GNB4	1	0.023	0.018	1.97090044988563e-16
PPP2R2B	2	0.814	0.88	2.83848708381e-06
PPP2R5C	2	0.842	0.872	0.00573020848159107
LSM6	1	0.544	0.208	4.3124047257559e-18
ABCC1	2	0.469	0.67	1.35999951274095e-12
FFAR3	2	0.521	0.674	2.12623570634853e-07
HSH2D	2	0.729	0.844	5.4647081866785e-06
TMEM220	1	0.385	0.096	8.66096474042197e-15
NCOA7	1	0.912	0.661	4.73322185976269e-15
VAC14	1	0.61	0.244	6.29777985785243e-14
TMEM86A	1	0.117	0.038	1.1487730569715e-09
CLEC4A	2	0.892	0.912	0.00174906060918633
GZMH	2	0.761	0.919	4.2729747987105e-05
ANO1	2	0.81	0.887	0.00013229710117589
TNFAIP8L3	2	0.872	0.93	4.39092880660113e-05
IGHMBP2	1	0.681	0.227	1.07424761136272e-14
ADAP2	2	0.764	0.829	3.78201326802875e-05
RFPL2	2	0.853	0.896	9.94540297590525e-05
COMTD1	2	0.891	0.924	1.05400805405281e-05
TRIO	2	0.862	0.929	7.82903751467088e-09
MYD88	1	0.063	0.041	2.1912017141373e-20
ISG20	2	0.314	0.625	3.24512509632054e-13
PATL2	2	0.84	0.882	0.00101840767680891
