GeneCluster	X1	X2	p.value
CHL1	2	-1	-0.05	5.38750070678297e-31
CRBN	2	-1	-0.05	5.38750070678297e-31
SUMF1	2	-1	-0.05	5.38750070678297e-31
LRRN1	2	-1	-0.05	5.38750070678297e-31
SETMAR	2	-1	-0.05	5.38750070678297e-31
BHLHE40	2	-1	-0.05	5.38750070678297e-31
ARL8B	2	-1	-0.05	5.38750070678297e-31
EDEM1	2	-1.025	-0.05	1.21629281982821e-28
LMCD1	2	-1	-0.05	5.38750070678297e-31
LINC00312	2	-1	-0.05	5.38750070678297e-31
SSUH2	2	-1	-0.05	5.38750070678297e-31
RAD18	2	-1	-0.05	5.38750070678297e-31
SRGAP3	2	-1	-0.05	5.38750070678297e-31
THUMPD3	2	-1	-0.05	5.38750070678297e-31
SETD5	2	-1	-0.05	5.38750070678297e-31
MTMR14	2	-1	-0.05	5.38750070678297e-31
BRPF1	2	-1	-0.05	5.38750070678297e-31
OGG1	2	-1	-0.05	5.38750070678297e-31
CAMK1	2	-1	-0.05	5.38750070678297e-31
TADA3	2	-1	-0.05	5.38750070678297e-31
ARPC4	2	-1	-0.05	5.38750070678297e-31
TTLL3	2	-1	-0.05	5.38750070678297e-31
RPUSD3	2	-1	-0.05	5.38750070678297e-31
CIDEC	2	-1	-0.05	5.38750070678297e-31
JAGN1	2	-1	-0.05	5.38750070678297e-31
IL17RE	2	-1	-0.05	5.38750070678297e-31
IL17RC	2	-1	-0.05	5.38750070678297e-31
CRELD1	2	-1	-0.05	5.38750070678297e-31
PRRT3	2	-1	-0.05	5.38750070678297e-31
EMC3	2	-1	-0.05	5.38750070678297e-31
CIDECP	2	-1	-0.05	5.38750070678297e-31
BRK1	2	-1	-0.05	5.38750070678297e-31
VHL	2	-1	-0.05	5.38750070678297e-31
TATDN2	2	-1	-0.05	5.38750070678297e-31
LINC00852	2	-1	-0.05	5.38750070678297e-31
GHRL	2	-1	-0.05	5.38750070678297e-31
SEC13	2	-1	-0.05	5.38750070678297e-31
ATP2B2	2	-1	-0.05	5.38750070678297e-31
SLC6A11	2	-1	-0.05	5.38750070678297e-31
SLC6A1	2	-1	-0.05	5.38750070678297e-31
ATG7	2	-1	-0.05	5.38750070678297e-31
VGLL4	2	-1	-0.05	5.38750070678297e-31
TAMM41	2	-1	-0.05	5.38750070678297e-31
SYN2	2	-1	-0.05	5.38750070678297e-31
TIMP4	2	-1	-0.05	5.38750070678297e-31
PPARG	2	-1	-0.05	5.38750070678297e-31
TSEN2	2	-1	-0.05	5.38750070678297e-31
MKRN2	2	-1	-0.05	5.38750070678297e-31
RAF1	2	-1	-0.05	5.38750070678297e-31
TMEM40	2	-1	-0.05	5.38750070678297e-31
CAND2	2	-1.05	-0.05	5.35498431728724e-27
RPL32	2	-1	-0.05	5.38750070678297e-31
IQSEC1	2	-1	-0.05	5.38750070678297e-31
HDAC11	2	-1	-0.05	5.38750070678297e-31
TPRXL	2	-1	-0.05	5.38750070678297e-31
CHCHD4	2	-1	-0.05	5.38750070678297e-31
TMEM43	2	-1	-0.05	5.38750070678297e-31
XPC	2	-1	-0.05	5.38750070678297e-31
LSM3	2	-1	-0.05	5.38750070678297e-31
SLC6A6	2	-1	-0.05	5.38750070678297e-31
GRIP2	2	-1	-0.05	5.38750070678297e-31
CCDC174	2	-1	-0.05	5.38750070678297e-31
FGD5	2	-1	-0.05	5.38750070678297e-31
